id	name	full_name	manufacturer	origin	introduction_year	description	image_url
p-59	P-59 Airacomet	Bell P-59 Airacomet	Bell Aircraft	US	1944	Het allereerste Amerikaanse straalvliegtuig, voornamelijk gebruikt voor training en evaluatie.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Bell%20P-59%20Airacomet.jpg&w=800&q=80
gloster-meteor	Gloster Meteor	Gloster Meteor	Gloster Aircraft Company	Europe	1944	De enige geallieerde jet die tijdens de Tweede Wereldoorlog operationele status bereikte.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Gloster%20Meteor%20F.8%20being%20prepared%20for%20flight.jpg&w=800&q=80
p-80	P-80 Shooting Star	Lockheed P-80 Shooting Star	Lockheed	US	1945	De eerste succesvolle Amerikaanse operationele jet, ingezet in de Koreaanse Oorlog.	https://upload.wikimedia.org/wikipedia/commons/1/18/P80-1_300.jpg
vampire	DH.100 Vampire	de Havilland Vampire	de Havilland	Europe	1946	Een Britse jet met een unieke dubbele staartboom en een romp deels van hout.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/De%20Havilland%20Vampire%201.jpg&w=800&q=80
fh-1	FH-1 Phantom	McDonnell FH-1 Phantom	McDonnell Aircraft	US	1947	Het eerste straalvliegtuig dat vanaf een Amerikaans vliegdekschip opereerde.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/FH-1%20Phantom%20in%20flight%20in%20February%201948%20cropped.jpg&w=800&q=80
f-84	F-84 Thunderjet	Republic F-84 Thunderjet	Republic Aviation	US	1947	Een robuuste jachtbommenwerper die de ruggengraat vormde van vele vroege NAVO-luchtmachten.	https://upload.wikimedia.org/wikipedia/commons/b/bd/F-84E_of_9th_Fighter-Bomber_Squadron_in_Korea.jpg
f-86	F-86 Sabre	North American F-86 Sabre	North American Aviation	US	1949	De beroemde "Sabrejet", legendarisch door zijn luchtgevechten boven de "MiG Alley" in Korea.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/F-86%20Sabre%20in%20flight.jpg&w=800&q=80
saab-21r	Saab 21R	Saab 21R	Saab	Europe	1950	Zweeds toestel dat werd omgebouwd van zuigermotor naar straalmotor.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Saab%2021R%203.jpg&w=800&q=80
saab-29	Saab 29 Tunnan	Saab 29 Tunnan	Saab	Europe	1951	Het "Vliegende Vat", de eerste naoorlogse Europese jet met pijlvleugels.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Saab_J_29F_Tunnan_29670_SE-DXB_p%C3%A5_uppvisning_i_Karlstad_2025_(cropped).jpg&w=800&q=80
f-89	F-89 Scorpion	Northrop F-89 Scorpion	Northrop	US	1950	Een zware onderscheppingsjager voor alle weersomstandigheden, uitgerust met raketten.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Northrop%20F-89J%20Scorpion.jpg&w=800&q=80
ouragan	MD.450 Ouragan	Dassault MD.450 Ouragan	Dassault	Europe	1952	De eerste in Frankrijk ontworpen straaljager die in serieproductie ging.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Dassault%20Ouragan.jpg&w=800&q=80
f7u	F7U Cutlass	Vought F7U Cutlass	Vought	US	1951	Een onconventionele staartloze jet van de US Navy, bekend om zijn futuristische uiterlijk.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/F7U%20cutlass%201954.jpg&w=800&q=80
hunter	Hawker Hunter	Hawker Hunter	Hawker Siddeley	Europe	1954	Een van de meest elegante en succesvolle Britse straaljagers ooit gebouwd.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Hunter_-_Shuttleworth_Military_Pageant_June_2013_(9187713516).jpg&w=800&q=80
f-100	F-100 Super Sabre	North American F-100 Super Sabre	North American Aviation	US	1954	De eerste van de "Century Series", de eerste US jager die supersonisch ging in horizontale vlucht.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/F-100_Airventure_2015.jpg&w=800&q=80
mystere-iv	Mystère IV	Dassault Mystère IV	Dassault	Europe	1955	Een Franse jachtbommenwerper die grote successen kende in diverse conflicten.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Dassault%20Myst%C3%A8re%20IV.jpg&w=800&q=80
f-101	F-101 Voodoo	McDonnell F-101 Voodoo	McDonnell Aircraft	US	1954	Oorspronkelijk ontworpen als escortjager voor lange afstand, later een krachtige interceptor.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/F-101B_New_York_ANG_in_flight_1978.jpeg&w=800&q=80
f-102	F-102 Delta Dagger	Convair F-102 Delta Dagger	Convair	US	1956	De eerste delta-vleugel interceptor van de USAF voor alle weersomstandigheden.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Convair_YF-102_FC-782.jpg&w=800&q=80
super-mystere	Super Mystère	Dassault Super Mystère B2	Dassault	Europe	1957	De eerste West-Europese jet die supersonisch kon vliegen in horizontale vlucht.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Dassault%20Super%20Myst%C3%A8re%20B2.jpg&w=800&q=80
f-8	F-8 Crusader	Vought F-8 Crusader	Vought	US	1957	Bekend als de "Last of the Gunfighters", de laatste US jager met kanonnen als primair wapen.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Vought%20F-8%20Crusader%202.JPG&w=800&q=80
f-104	F-104 Starfighter	Lockheed F-104 Starfighter	Lockheed	US	1958	De "Missile with a Man in It", beroemd om zijn snelheid en slanke ontwerp.	https://images.weserv.nl/?url=https://commons.wikimedia.org/wiki/Special:FilePath/Lockheed%20F-104%20Starfighter.jpg&w=800&q=80
